Instruction,Input,Output,text
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Exploration Data System,EDS,FieldDevelopmentPlans,Plans for developing new fields post-discovery including projected investment and timelines.,Source_System_Acronym,SSA,TEXT,NOT NULLABLE",The acronym of the source system,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Exploration Data System,EDS,FieldDevelopmentPlans,Plans for developing new fields post-discovery including projected investment and timelines.,Source_System_Acronym,SSA,TEXT,NOT NULLABLE
### Response:
The acronym of the source system"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,ProductSpecificationCompliance,Records of product quality tests to ensure compliance with specifications.,Sample Description,SD,TEXT,NULLABLE",Description of the sample tested,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,ProductSpecificationCompliance,Records of product quality tests to ensure compliance with specifications.,Sample Description,SD,TEXT,NULLABLE
### Response:
Description of the sample tested"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Renewable Energy Project Database,REPD,EnergyPolicyImpactStudies_REPD,Studies on the impact of energy policies on renewable energy project development.,ProjectID,ProjID,NUMBER,NOT NULLABLE",Unique identifier for each renewable energy project in the database,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Renewable Energy Project Database,REPD,EnergyPolicyImpactStudies_REPD,Studies on the impact of energy policies on renewable energy project development.,ProjectID,ProjID,NUMBER,NOT NULLABLE
### Response:
Unique identifier for each renewable energy project in the database"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Corporate Social Responsibility Tracker,CSRT,RenewableEnergyUsageStats,Statistics on the company's use of renewable energy sources.,CO2 Emissions,NULLABLE,NUMBER,None",,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Corporate Social Responsibility Tracker,CSRT,RenewableEnergyUsageStats,Statistics on the company's use of renewable energy sources.,CO2 Emissions,NULLABLE,NUMBER,None
### Response:
"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Renewable Energy Project Database,REPD,RenewableProjectInvestmentReturns,Data on investment returns from various renewable energy projects.,Return Currency,RCurrency,TEXT,NOT NULLABLE",The currency in which the return rate is calculated.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Renewable Energy Project Database,REPD,RenewableProjectInvestmentReturns,Data on investment returns from various renewable energy projects.,Return Currency,RCurrency,TEXT,NOT NULLABLE
### Response:
The currency in which the return rate is calculated."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Production Optimization System,POS,FieldOptimizationProjects,Database of ongoing and completed projects aimed at optimizing field operations.,Investment,Inv,NULLABLE,NOT NULL",,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Production Optimization System,POS,FieldOptimizationProjects,Database of ongoing and completed projects aimed at optimizing field operations.,Investment,Inv,NULLABLE,NOT NULL
### Response:
"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,WellBoreTrajectoryData,Data on the trajectory of wellbores including deviations and directional drilling details.,Wellbore Number,WN,NUMBER,NOT NULLABLE",Number assigned to each wellbore,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,WellBoreTrajectoryData,Data on the trajectory of wellbores including deviations and directional drilling details.,Wellbore Number,WN,NUMBER,NOT NULLABLE
### Response:
Number assigned to each wellbore"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,OperationalRiskManagementAssessments,Assessments of operational risks with implications for safety including mitigation strategies.,Due Date,DUE,DATETIME,NULLABLE",Deadline for completing the assessment,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,OperationalRiskManagementAssessments,Assessments of operational risks with implications for safety including mitigation strategies.,Due Date,DUE,DATETIME,NULLABLE
### Response:
Deadline for completing the assessment"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Production Optimization System,POS,OperationalCostReductionInitiatives,Initiatives and strategies for reducing operational costs in production.,EstimatedCost,NULLABLE,NUMBER,None",,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Production Optimization System,POS,OperationalCostReductionInitiatives,Initiatives and strategies for reducing operational costs in production.,EstimatedCost,NULLABLE,NUMBER,None
### Response:
"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Regulatory Compliance Archive,RCA,RegulationChangeLog,Log of changes in regulations that impact company operations with corresponding action items.,CreatedDate,CDT,DATETIME,NOT NULLABLE",Date and time when the record was created,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Regulatory Compliance Archive,RCA,RegulationChangeLog,Log of changes in regulations that impact company operations with corresponding action items.,CreatedDate,CDT,DATETIME,NOT NULLABLE
### Response:
Date and time when the record was created"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Corporate Social Responsibility Tracker,CSRT,RenewableEnergyUsageStats,Statistics on the company's use of renewable energy sources.,Table Name,TN,TEXT,NOT NULLABLE",Name of the table,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Corporate Social Responsibility Tracker,CSRT,RenewableEnergyUsageStats,Statistics on the company's use of renewable energy sources.,Table Name,TN,TEXT,NOT NULLABLE
### Response:
Name of the table"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,SafetyMeetingMinutes,Minutes from safety meetings highlighting discussions, decisions, and action items.,DiscussionTopics,DT,TEXT,NULLABLE",Topics discussed during the safety meeting,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,SafetyMeetingMinutes,Minutes from safety meetings highlighting discussions, decisions, and action items.,DiscussionTopics,DT,TEXT,NULLABLE
### Response:
Topics discussed during the safety meeting"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Chemical Analysis Results Database,CARD,RawMaterialQualityRecords,Quality analysis of raw materials used in chemical production processes.,Table Name,TN,TEXT,NOT NULLABLE",Name of the table where the data is stored.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Chemical Analysis Results Database,CARD,RawMaterialQualityRecords,Quality analysis of raw materials used in chemical production processes.,Table Name,TN,TEXT,NOT NULLABLE
### Response:
Name of the table where the data is stored."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Chemical Analysis Results Database,CARD,CatalystPerformanceData_CARD,Performance data of catalysts used in chemical reactions and processes.,Catalyst_Amount,CAT_AMT,NUMBER,NOT NULLABLE",Amount of catalyst used in the reaction,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Chemical Analysis Results Database,CARD,CatalystPerformanceData_CARD,Performance data of catalysts used in chemical reactions and processes.,Catalyst_Amount,CAT_AMT,NUMBER,NOT NULLABLE
### Response:
Amount of catalyst used in the reaction"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Financial Reporting System,FRS,AuditFindingsRepository,Repository of findings from internal and external financial audits.,ReviewedDate, RD,DATETIME,NULLABLE", Date and time when the finding was reviewed,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Financial Reporting System,FRS,AuditFindingsRepository,Repository of findings from internal and external financial audits.,ReviewedDate, RD,DATETIME,NULLABLE
### Response:
 Date and time when the finding was reviewed"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Regulatory Compliance Archive,RCA,RegulatoryReviewMinutes,Minutes from meetings where regulatory reviews are discussed.,FollowUpActions,FA,TEXT,NULLABLE",Actions needed to follow up after the meeting.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Regulatory Compliance Archive,RCA,RegulatoryReviewMinutes,Minutes from meetings where regulatory reviews are discussed.,FollowUpActions,FA,TEXT,NULLABLE
### Response:
Actions needed to follow up after the meeting."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Regulatory Compliance Archive,RCA,ComplianceBenchmarkingMetrics,Metrics used to benchmark compliance against industry standards.,Source System Name,SSN,TEXT,NOT NULLABLE",The name of the source system where the data is stored.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Regulatory Compliance Archive,RCA,ComplianceBenchmarkingMetrics,Metrics used to benchmark compliance against industry standards.,Source System Name,SSN,TEXT,NOT NULLABLE
### Response:
The name of the source system where the data is stored."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,DrillingCostManagement,Detailed cost management records for drilling operations including budget vs. actual expenses.,ActualCost,AC,NUMBER,NULLABLE",Actual cost incurred for the drilling operation,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,DrillingCostManagement,Detailed cost management records for drilling operations including budget vs. actual expenses.,ActualCost,AC,NUMBER,NULLABLE
### Response:
Actual cost incurred for the drilling operation"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Logistics Optimization Software,LOS,LogisticsRiskAssessmentReports,Assessment reports on risks within the logistics and supply chain operations.,RiskDescription,RD,TEXT,NOT NULLABLE",Description of the identified risk,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Logistics Optimization Software,LOS,LogisticsRiskAssessmentReports,Assessment reports on risks within the logistics and supply chain operations.,RiskDescription,RD,TEXT,NOT NULLABLE
### Response:
Description of the identified risk"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,SafetyPerformanceIndicators,Key performance indicators related to safety including incident rates and response times.,Resolution_Time,ResTime,NUMBER,NULLABLE",Time taken to resolve the safety incident (in minutes),"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,SafetyPerformanceIndicators,Key performance indicators related to safety including incident rates and response times.,Resolution_Time,ResTime,NUMBER,NULLABLE
### Response:
Time taken to resolve the safety incident (in minutes)"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Human Resources Information System,HRIS,BenefitsEnrollmentStatus,Enrollment status for various employee benefits including health insurance and retirement plans.,primary_contact,PCO,TEXT,NULLABLE",Name of the primary contact for the benefit plan,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Human Resources Information System,HRIS,BenefitsEnrollmentStatus,Enrollment status for various employee benefits including health insurance and retirement plans.,primary_contact,PCO,TEXT,NULLABLE
### Response:
Name of the primary contact for the benefit plan"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,SafetyPerformanceIndicators,Key performance indicators related to safety including incident rates and response times.,Preventive_Action,PA,TEXT,NULLABLE",Preventive actions taken to mitigate similar safety incidents,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,SafetyPerformanceIndicators,Key performance indicators related to safety including incident rates and response times.,Preventive_Action,PA,TEXT,NULLABLE
### Response:
Preventive actions taken to mitigate similar safety incidents"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Exploration Data System,EDS,ExploratoryWellProfiles,Detailed profiles of exploratory wells including construction details and initial testing results.,Drilling Completion Date,DrillCompletionDate,DATETIME,NULLABLE",Date when drilling operation was completed for the well,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Exploration Data System,EDS,ExploratoryWellProfiles,Detailed profiles of exploratory wells including construction details and initial testing results.,Drilling Completion Date,DrillCompletionDate,DATETIME,NULLABLE
### Response:
Date when drilling operation was completed for the well"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,OperationalRiskAssessments_Drilling,Risk assessments for drilling operations focusing on operational and environmental risks.,Risk_Assessment_ID,RiskAssmtID,NUMBER,NOT NULLABLE",Unique identifier for each risk assessment.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,OperationalRiskAssessments_Drilling,Risk assessments for drilling operations focusing on operational and environmental risks.,Risk_Assessment_ID,RiskAssmtID,NUMBER,NOT NULLABLE
### Response:
Unique identifier for each risk assessment."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,EnergyConsumptionData,Data on energy consumption by each refining unit used for optimization.,RefiningUnitID,RUID,NUMBER,NOT NULLABLE",Unique identifier for each refining unit.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,EnergyConsumptionData,Data on energy consumption by each refining unit used for optimization.,RefiningUnitID,RUID,NUMBER,NOT NULLABLE
### Response:
Unique identifier for each refining unit."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Corporate Social Responsibility Tracker,CSRT,CorporatePhilanthropyContributions,Records of philanthropic contributions and their allocation.,Recipient Type,RT,TEXT,NULLABLE",Type of recipient (e.g.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Corporate Social Responsibility Tracker,CSRT,CorporatePhilanthropyContributions,Records of philanthropic contributions and their allocation.,Recipient Type,RT,TEXT,NULLABLE
### Response:
Type of recipient (e.g."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Chemical Analysis Results Database,CARD,RawMaterialQualityRecords,Quality analysis of raw materials used in chemical production processes.,Parameter 7,P7,TEXT,NOT NULLABLE",Seventh parameter measured during analysis.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Chemical Analysis Results Database,CARD,RawMaterialQualityRecords,Quality analysis of raw materials used in chemical production processes.,Parameter 7,P7,TEXT,NOT NULLABLE
### Response:
Seventh parameter measured during analysis."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,WellBoreTrajectoryData,Data on the trajectory of wellbores including deviations and directional drilling details.,Azimuth,NULLABLE,NUMBER,None",,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,WellBoreTrajectoryData,Data on the trajectory of wellbores including deviations and directional drilling details.,Azimuth,NULLABLE,NUMBER,None
### Response:
"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,SafetyPerformanceIndicators,Key performance indicators related to safety including incident rates and response times.,Root_Cause,RC,TEXT,NULLABLE",Root cause analysis of the safety incident,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,SafetyPerformanceIndicators,Key performance indicators related to safety including incident rates and response times.,Root_Cause,RC,TEXT,NULLABLE
### Response:
Root cause analysis of the safety incident"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,SafetyMeetingMinutes,Minutes from safety meetings highlighting discussions, decisions, and action items.,CreatedBy,CBY,TEXT,NOT NULLABLE",Person who created the record,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,SafetyMeetingMinutes,Minutes from safety meetings highlighting discussions, decisions, and action items.,CreatedBy,CBY,TEXT,NOT NULLABLE
### Response:
Person who created the record"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Financial Reporting System,FRS,TaxFilingStatus,Status and details of tax filings including liabilities and refunds.,AdjustedGrossIncome,AGI,NULLABLE,NULLABLE",,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Financial Reporting System,FRS,TaxFilingStatus,Status and details of tax filings including liabilities and refunds.,AdjustedGrossIncome,AGI,NULLABLE,NULLABLE
### Response:
"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Regulatory Compliance Archive,RCA,ComplianceTrainingRecords,Records of compliance training sessions attended by employees.,TrainingTopic,TT,TEXT,NOT NULLABLE",The topic of the training session,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Regulatory Compliance Archive,RCA,ComplianceTrainingRecords,Records of compliance training sessions attended by employees.,TrainingTopic,TT,TEXT,NOT NULLABLE
### Response:
The topic of the training session"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Financial Reporting System,FRS,TaxFilingStatus,Status and details of tax filings including liabilities and refunds.,TaxpayerID,TaxID,NUMBER,NOT NULLABLE",Unique identifier for the taxpayer,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Financial Reporting System,FRS,TaxFilingStatus,Status and details of tax filings including liabilities and refunds.,TaxpayerID,TaxID,NUMBER,NOT NULLABLE
### Response:
Unique identifier for the taxpayer"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,CatalystPerformanceData,Data on the performance of various catalysts used in refining processes.,Supplier,Supplier,TEXT,NULLABLE",Supplier or manufacturer of the catalyst,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,CatalystPerformanceData,Data on the performance of various catalysts used in refining processes.,Supplier,Supplier,TEXT,NULLABLE
### Response:
Supplier or manufacturer of the catalyst"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Corporate Social Responsibility Tracker,CSRT,EnvironmentalImpactStudies_CSRT,Studies conducted on the environmental impact of company operations.,Report File Path,REPORT_FILE_PATH,TEXT,NULLABLE",Path of the report file,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Corporate Social Responsibility Tracker,CSRT,EnvironmentalImpactStudies_CSRT,Studies conducted on the environmental impact of company operations.,Report File Path,REPORT_FILE_PATH,TEXT,NULLABLE
### Response:
Path of the report file"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,PersonalProtectiveEquipmentUsage,Data on the issuance and usage of personal protective equipment by employees.,SITS_RETURNED_TO,RETURNED TO,TEXT,NULLABLE",Name of the person to whom the personal protective equipment was returned (if applicable).,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,PersonalProtectiveEquipmentUsage,Data on the issuance and usage of personal protective equipment by employees.,SITS_RETURNED_TO,RETURNED TO,TEXT,NULLABLE
### Response:
Name of the person to whom the personal protective equipment was returned (if applicable)."
